id,slug,name,category,description_atual,full_name,commercial_summary,applications,benefits,compatibility,brand,price_or_condition,video_url,status
"caterpillar-diagnostic-kit-cat4-scanner-de-diagnostico-construcao-2026-notebook","caterpillar-diagnostic-kit-cat4-scanner-de-diagnostico-construcao-2026-notebook","CATERPILLAR DIAGNOSTIC KIT (CAT4) - Scanner de Diagnóstico Construção - 2026 + Notebook","scanners","CATERPILLAR DIAGNOSTIC KIT (CAT4) - Scanner de Diagnóstico Construção - 2026 + Notebook","CATERPILLAR DIAGNOSTIC KIT (CAT4) - Scanner de Diagnóstico Construção - 2026 + Notebook","","","","","ScannerTec","Consultar condições","","rascunho - revisar"
"chave-de-impacto-a-bateria-20v-potente-kit-com-2-baterias-e-carregador-encaixe-1-2","chave-de-impacto-a-bateria-20v-potente-kit-com-2-baterias-e-carregador-encaixe-1-2","Chave de Impacto a Bateria 20V Potente - Kit com 2 Baterias e Carregador (Encaixe 1/2"")","equipamentos","Chave de Impacto a Bateria 20V Potente - Kit com 2 Baterias e Carregador (Encaixe 1/2"")","Chave de Impacto a Bateria 20V Potente - Kit com 2 Baterias e Carregador (Encaixe 1/2"")","","","","","ScannerTec","Consultar condições","","rascunho - revisar"
"cnh-est-case-e-newholland-industrial-dpa5-scanner-de-diagnostico-agricola-e-construcao-2026-notebook","cnh-est-case-e-newholland-industrial-dpa5-scanner-de-diagnostico-agricola-e-construcao-2026-notebook","CNH Est Case e NewHolland Industrial DPA5 - Scanner de Diagnóstico Agrícola e Construção - 2026 + Notebook","scanners","CNH Est Case e NewHolland Industrial DPA5 - Scanner de Diagnóstico Agrícola e Construção - 2026 + Notebook","CNH Est Case e NewHolland Industrial DPA5 - Scanner de Diagnóstico Agrícola e Construção - 2026 + Notebook","","","","","ScannerTec","Consultar condições","","rascunho - revisar"
"cummins-inline-6-scanner-de-diagnostico-2026-notebook","cummins-inline-6-scanner-de-diagnostico-2026-notebook","Cummins Inline 6 - Scanner de Diagnóstico - 2026 + Notebook","scanners","Cummins Inline 6 - Scanner de Diagnóstico - 2026 + Notebook","Cummins Inline 6 - Scanner de Diagnóstico - 2026 + Notebook","","","","","ScannerTec","Consultar condições","","rascunho - revisar"
"cummins-inline-7-scanner-de-diagnostico-2026-notebook","cummins-inline-7-scanner-de-diagnostico-2026-notebook","Cummins Inline 7 - Scanner de Diagnóstico - 2026 + Notebook","scanners","Cummins Inline 7 - Scanner de Diagnóstico - 2026 + Notebook","Cummins Inline 7 - Scanner de Diagnóstico - 2026 + Notebook","","","","","ScannerTec","Consultar condições","","rascunho - revisar"
"ecoblaster-40-i","ecoblaster-40-i","Ecoblaster 40/I","maquinas","Ecoblaster 40/I","Ecoblaster 40/I","","","","","planatc","Consultar condições","","rascunho - revisar"
"ferramenta-de-diagnostico-daf-paccar-davie-4-2026-euro-6-notebook","ferramenta-de-diagnostico-daf-paccar-davie-4-2026-euro-6-notebook","FERRAMENTA DE DIAGNÓSTICO DAF PACCAR DAVIE 4 - 2026 EURO 6 + Notebook","scanners","FERRAMENTA DE DIAGNÓSTICO DAF PACCAR DAVIE 4 - 2026 EURO 6 + Notebook","FERRAMENTA DE DIAGNÓSTICO DAF PACCAR DAVIE 4 - 2026 EURO 6 + Notebook","","","","","ScannerTec","Consultar condições","","rascunho - revisar"
"iveco-eci-udt-scanner-iveco-de-diag-2026-notebook","iveco-eci-udt-scanner-iveco-de-diag-2026-notebook","IVECO ECI UDT - SCANNER IVECO DE DIAG 2026 + Notebook","scanners","IVECO ECI UDT - SCANNER IVECO DE DIAG 2026 + Notebook","IVECO ECI UDT - SCANNER IVECO DE DIAG 2026 + Notebook","","","","","ScannerTec","Consultar condições","","rascunho - revisar"
"kit-mercedes-super-mb-pro-m6-nootbook-asus-daimler","kit-mercedes-super-mb-pro-m6-nootbook-asus-daimler","Kit Mercedes - Super MB Pro M6 + Nootbook Asus Daimler","scanners","Kit Mercedes - Super MB Pro M6 + Nootbook Asus Daimler","Kit Mercedes - Super MB Pro M6 + Nootbook Asus Daimler","","","","","ScannerTec","Consultar condições","","rascunho - revisar"
"maquina-geradora-de-fumaca-automotiva-ij-21200","maquina-geradora-de-fumaca-automotiva-ij-21200","Máquina Geradora de Fumaça Automotiva IJ-21200","maquinas","Máquina Geradora de Fumaça Automotiva IJ-21200","Máquina Geradora de Fumaça Automotiva IJ-21200","","","","","ScannerTec","Consultar condições","","rascunho - revisar"
